奥特曼,울트라맨
佐菲,조피
赛文,세븐
杰克,잭
艾斯,에이스
泰罗,타로
雷欧,레오
阿斯特拉,아스트라
爱迪,에이티
尤莉安,율리안
安德鲁美洛斯,안드로멜로스
葛雷,그레이트
帕瓦特,파워드
麦克斯,맥스
杰诺,제논
哉阿斯,제아스
纳伊斯,나이스
迪迦,티가
戴拿,다이나
盖亚,가이아
阿古茹,아굴
奈欧斯,네오스
赛文21,세븐21
高斯,코스모스
杰斯提斯,저스티스
雷杰多,레전드
奈克赛斯,넥서스
诺亚,노아
黑暗浮士德,다크파우스트
黑暗梅菲斯特,다크메피스토
黑暗扎基,다크자기
梦比优斯,메비우스
希卡利,히카리
赛罗,제로
贝利亚,베리알
贝尔,베리알
奥特之父,울트라의 아버지
凯恩,켄
奥特之母,울트라의 어머니
玛丽,마리
奥特之王,울트라맨 킹
皮克,피코
乔尼亚斯,조니어스
银河,긴가
胜利,빅토리
维克特利,빅토리
艾克斯,엑스
欧布,오브
捷德,지드
罗布,루브
罗索,롯소
布鲁,블루
格丽乔,그리조
格罗布,그루브
泰迦,타이가
菲利斯,필리스
泰塔斯,타이타스
风马,후마
托電基亚,트레기아
泽塔,제트
特利迦,트리거
利布特,리부트
索拉,소라
卡尔蜜拉,카르미라
达贡,다곤
希特拉姆,휴드람
德凯,데커
帝纳斯,디나스
雷古洛思,레굴로스
布莱泽,블레이자
亚刻,아크
奥美迦,오메가